team,wins,scored,allowed
2019 ARI,85,813,743
2019 ATL,97,855,743
2019 BAL,54,729,981
2019 BOS,84,901,828
2019 CHC,84,814,717
2019 CHW,72,708,832
2019 CIN,75,701,711
2019 CLE,93,769,657
2019 COL,71,835,958
2019 DET,47,582,915
2019 HOU,107,920,640
2019 KCR,59,691,869
2019 LAA,72,769,868
2019 LAD,106,886,613
2019 MIA,57,615,808
2019 MIL,89,769,766
2019 MIN,101,939,754
2019 NYM,86,791,737
2019 NYY,103,943,739
2019 OAK,97,845,680
2019 PHI,81,774,794
2019 PIT,69,758,911
2019 SDP,70,682,789
2019 SEA,68,758,893
2019 SFG,77,678,773
2019 STL,91,764,662
2019 TBR,96,769,656
2019 TEX,78,810,878
2019 TOR,67,726,828
2019 WSN,93,873,724
2021 ARI,52,679,893
2021 ATL,88,790,656
2021 BAL,52,659,956
2021 BOS,92,829,749
2021 CHC,71,705,839
2021 CHW,93,796,636
2021 CIN,83,786,760
2021 CLE,80,717,727
2021 COL,74,739,796
2021 DET,77,697,756
2021 HOU,95,863,658
2021 KCR,74,686,788
2021 LAA,77,723,804
2021 LAD,106,830,561
2021 MIA,67,623,701
2021 MIL,95,738,623
2021 MIN,73,729,834
2021 NYM,77,636,668
2021 NYY,92,711,669
2021 OAK,86,743,687
2021 PHI,82,734,745
2021 PIT,61,609,833
2021 SDP,79,729,708
2021 SEA,90,697,748
2021 SFG,107,804,594
2021 STL,90,706,672
2021 TBR,100,857,651
2021 TEX,60,625,815
2021 TOR,91,846,663
2021 WSN,65,724,820
2022 ARI,74,702,740
2022 ATL,101,789,609
2022 BAL,83,674,688
2022 BOS,78,735,787
2022 CHC,74,657,731
2022 CHW,81,686,717
2022 CIN,62,648,815
2022 CLE,92,698,634
2022 COL,68,698,873
2022 DET,66,557,713
2022 HOU,106,737,518
2022 KCR,65,640,810
2022 LAA,73,623,668
2022 LAD,111,847,513
2022 MIA,69,586,676
2022 MIL,86,725,688
2022 MIN,78,696,684
2022 NYM,101,772,606
2022 NYY,99,807,567
2022 OAK,60,568,770
2022 PHI,87,747,685
2022 PIT,62,591,817
2022 SDP,89,705,660
2022 SEA,90,690,623
2022 SFG,81,716,697
2022 STL,93,772,637
2022 TBR,86,666,614
2022 TEX,68,707,743
2022 TOR,92,775,679
2022 WSN,55,603,855